APSIM = 7.7
 Title     date      year    day      subsurface_drain     sum_subsurface_drain    leach_    sum_leach_        
  ()        (dd/mm/yyyy)        ()      ()         (mm)                   (mm)             (kg/ha)     (kg/ha)
P      10/05/2012      2012      131      7.254      55.2136733333333      0.005      0.0404455040856
P      14/05/2012      2012      135      1.644      56.857392      0.001      0.04134338863776
P      17/05/2012      2012      138      0.033      56.8899886666667      ?      0.04134338863776
P      21/05/2012      2012      142      0      56.8900733333333      ?      0.04134338863776
P      29/05/2012      2012      150      0.004      56.894476      ?      0.04134338863776
P      04/06/2012      2012      156      0      56.894476      ?      0.04134338863776
P      12/06/2012      2012      164      0.003      56.8976933333333      ?      0.04134338863776
P      18/06/2012      2012      170      0      56.8976933333333      ?      0.04134338863776
P      25/06/2012      2012      177      0      56.8978626666667      ?      0.04134338863776
P      16/07/2012      2012      198      0      56.8978626666667      ?      0.04134338863776
P      11/04/2013      2013      101      0.051      0.051308      ?      0
P      19/04/2013      2013      109      7.564      7.61576666666667      0.011      0.005273061159168
P      23/04/2013      2013      113      5.156      12.7720513333333      0.003      0.007216572738384
P      30/04/2013      2013      120      4.661      17.4331206666667      0      0.007350668249904
P      03/05/2013      2013      123      3.925      21.3580133333333      0.006      0.01150211351232
P      06/05/2013      2013      126      18.636      39.9945013333333      0.011      0.022205097478656
P      09/05/2013      2013      129      13.637      53.6316766666667      ?      0.022205097478656
P      10/05/2013      2013      130      8.639      62.2704706666667      ?      0.022205097478656
P      13/05/2013      2013      133      15.452      77.7226453333333      0.018      0.035416506932208
P      16/05/2013      2013      136      6.457      84.1797486666667      0.005      0.040524371578512
P      20/05/2013      2013      140      3.795      87.9751013333333      0.001      0.041313762983808
P      24/05/2013      2013      144      3.306      91.2815886666667      0.001      0.041835349160928
P      28/05/2013      2013      148      13.171      104.452843333333      0.004      0.045666398148048
P      31/05/2013      2013      151      16.062      120.514872      0.002      0.04791693036744
P      03/06/2013      2013      154      5.814      140.8625072      0.001      0.043216978077504
P      06/06/2013      2013      157      3.961      108.793392888889      0.001      0.059419712308224
P      11/06/2013      2013      162      5.02      135.772567333333      0.001      0.050336665430976
P      13/06/2013      2013      164      0.614      136.386654666667      0      0.050477904506736
P      17/06/2013      2013      168      1.243      137.6299      0.002      0.052192834748784
P      20/06/2013      2013      171      0.366      137.995744666667      0      0.052262756888256
P      24/06/2013      2013      175      0      137.995744666667      ?      0.052262756888256
P      27/06/2013      2013      178      0      137.995744666667      ?      0.052262756888256
P      01/07/2013      2013      182      0      137.995744666667      ?      0.052262756888256
P      03/07/2013      2013      184      0      137.995744666667      ?      0.052262756888256
P      08/07/2013      2013      189      0      137.995744666667      ?      0.052262756888256
P      12/07/2013      2013      193      0      137.995744666667      ?      0.052262756888256
P      08/04/2014      2014      98      ?      0      ?      0
P      14/04/2014      2014      104      0      0      ?      0
P      24/04/2014      2014      114      0      0      ?      0
