ApsimVersion = 7.4
Title	subsurface_drain	Date
()	(mm)	(dd/mm/yyyy)
P	0	3/6/2011
P	0	4/6/2011
P	0	5/6/2011
P	0	6/6/2011
P	0	7/6/2011
P	0	8/6/2011
P	0.423333333	9/6/2011
P	8.551333333	10/6/2011
P	1.862666666	11/6/2011
P	0.508000002	12/6/2011
P	0.338666668	13/06/2011
P	1.270000001	14/06/2011
P	1.100666667	15/06/2011
P	0.423333335	16/06/2011
P	0.254000001	17/06/2011
P	0.169333334	18/06/2011
P	0	19/06/2011
P	0	20/06/2011
P	5.841999999	21/06/2011
P	1.524	22/06/2011
P	0.846666667	23/06/2011
P	0.338666667	24/06/2011
P	0.084666667	25/06/2011
P	0.508	26/06/2011
P	2.878666667	27/06/2011
P	1.100666666	28/06/2011
P	0.508000001	29/06/2011
P	0.084666667	30/06/2011
P	0	1/7/2011
P	0	2/7/2011
P	0	3/7/2011
P	0	4/7/2011
P	0.084666667	12/3/2012
P	0	13/03/2012
P	0.084666667	14/03/2012
P	0.169333334	15/03/2012
P	0.084666667	16/03/2012
P	0.169333334	17/03/2012
P	0.084666667	18/03/2012
P	0.169333334	19/03/2012
P	0.508000002	20/03/2012
P	0.677333333	21/03/2012
P	1.100666668	22/03/2012
P	1.354666667	23/03/2012
P	1.100666666	24/03/2012
P	0.846666667	25/03/2012
P	0.677333333	26/03/2012
P	0.592666667	27/03/2012
P	0.338666668	28/03/2012
P	0.338666668	29/03/2012
P	0.254000001	30/03/2012
P	0.677333333	31/03/2012
P	0.508000002	1/4/2012
P	0.423333335	2/4/2012
P	0.169333334	3/4/2012
P	0.169333334	4/4/2012
P	0.084666667	5/4/2012
P	0.084666667	6/4/2012
P	0	7/4/2012
P	0	8/4/2012
P	0	9/4/2012
P	0	10/4/2012
P	0	11/4/2012
P	0	12/4/2012
P	0	13/04/2012
P	5.164666666	14/04/2012
P	8.805333335	15/04/2012
P	4.233333332	16/04/2012
P	2.878666667	17/04/2012
P	2.116666666	18/04/2012
P	1.778	19/04/2012
P	2.032000001	20/04/2012
P	1.862666668	21/04/2012
P	1.354666668	22/04/2012
P	1.100666668	23/04/2012
P	0.931333334	24/04/2012
P	0.592666668	25/04/2012
P	0.338666668	26/04/2012
