ApsimVersion = 7.6
Title = PFnew agwt
           Date  AboveGroundWt  BelowGroundWt   surfaceom_wt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     03/02/2009         1152.1         1967.8          209.1
     04/02/2009         1152.1         1967.8          209.1
     05/02/2009         1152.1         1967.8          209.1
     06/02/2009         1152.1         1967.8          208.9
     07/02/2009         1152.1         1967.8          208.4
     08/02/2009         1152.1         1967.8          208.4
     09/02/2009         1150.9         1966.1          207.9
     10/02/2009         1161.3         1964.7          206.7
     11/02/2009         1161.3         1964.7          206.6
     12/02/2009         1161.3         1964.7          206.4
     13/02/2009         1161.3         1964.7          206.4
     14/02/2009         1161.3         1964.7          206.4
     15/02/2009         1161.3         1964.7          206.4
     16/02/2009         1161.3         1964.7          206.4
     17/02/2009         1161.3         1964.7          206.4
     18/02/2009         1161.3         1964.7          206.4
     19/02/2009         1161.3         1964.7          206.4
     20/02/2009         1161.3         1964.7          206.4
     21/02/2009         1161.3         1964.7          206.4
     22/02/2009         1161.3         1964.7          206.4
     23/02/2009         1161.3         1964.7          206.4
     24/02/2009         1161.3         1964.7          206.1
     25/02/2009         1160.5         1964.4          206.0
     26/02/2009         1160.5         1964.4          206.0
     27/02/2009         1160.5         1964.4          206.0
     28/02/2009         1160.5         1964.4          206.0
     01/03/2009         1160.5         1964.4          206.0
     02/03/2009         1160.5         1964.4          206.0
     03/03/2009         1160.5         1964.4          206.0
     04/03/2009         1160.5         1964.4          205.7
     05/03/2009         1166.2         1959.8          204.5
     06/03/2009         1167.3         1958.1          203.5
     07/03/2009         1167.3         1958.1          203.3
     08/03/2009         1167.3         1958.1          203.2
     09/03/2009         1167.3         1958.1          203.2
     10/03/2009         1167.3         1958.1          203.2
     11/03/2009         1167.3         1958.1          203.2
     12/03/2009         1167.3         1958.1          203.2
     13/03/2009         1167.3         1958.1          203.1
     14/03/2009         1167.3         1958.1          202.8
     15/03/2009         1166.2         1955.9          202.1
     16/03/2009         1172.3         1951.4          200.3
     17/03/2009         1206.3         1949.0          198.8
     18/03/2009         1228.6         1949.3          198.6
     19/03/2009         1228.6         1949.3          198.2
     20/03/2009         1227.6         1947.9          198.3
     21/03/2009         1236.5         1944.1          198.1
     22/03/2009         1264.7         1940.6          197.6
     23/03/2009         1269.2         1933.3          192.9
     24/03/2009         1274.6         1932.8          192.5
     25/03/2009         1275.0         1932.9          191.7
     26/03/2009         1275.0         1932.9          191.5
     27/03/2009         1275.0         1932.9          191.5
     28/03/2009         1275.0         1932.9          191.5
     29/03/2009         1275.0         1932.9          191.3
     30/03/2009         1274.8         1931.4          191.1
     31/03/2009         1275.0         1931.4          190.6
     01/04/2009         1275.0         1931.4          190.1
     02/04/2009         1275.0         1931.4          189.8
     03/04/2009         1275.0         1931.4          189.4
     04/04/2009         1283.4         1930.0          188.0
     05/04/2009         1283.4         1930.0          188.0
     06/04/2009         1283.4         1930.0          188.0
     07/04/2009         1283.4         1930.0          187.9
     08/04/2009         1282.6         1929.1          187.7
     09/04/2009         1282.6         1929.1          187.1
     10/04/2009         1284.0         1928.2          186.9
     11/04/2009         1284.4         1926.2          186.7
     12/04/2009         1293.8         1926.1          186.7
     13/04/2009         1303.6         1927.2          186.5
     14/04/2009         1335.4         1928.9          186.2
     15/04/2009         1351.4         1927.6          186.0
     16/04/2009         1390.7         1926.1          185.9
     17/04/2009         1476.2         1930.7          186.6
     18/04/2009         1493.2         1924.8          186.5
     19/04/2009         1545.2         1928.8          187.5
     20/04/2009         1586.8         1933.8          188.4
     21/04/2009         1647.1         1940.1          189.6
     22/04/2009         1753.2         1948.0          191.6
     23/04/2009         1855.8         1949.8          195.3
     24/04/2009         1986.3         1954.1          198.9
     25/04/2009         2031.4         1954.1          196.5
     26/04/2009         2062.6         1948.1          190.7
     27/04/2009         2142.0         1955.8          190.3
     28/04/2009         2269.2         1969.6          190.0
     29/04/2009         2290.6         1966.1          187.9
     30/04/2009         2351.5         1965.9          184.6
     01/05/2009         2484.8         1989.6          183.7
     02/05/2009         2670.6         2024.3          182.6
     03/05/2009         2864.4         2059.6          180.7
     04/05/2009         2995.7         2079.6          178.5
     05/05/2009         3174.0         2109.6          173.5
     06/05/2009         3260.8         2118.9          169.5
     07/05/2009         3399.4         2140.8          166.1
     08/05/2009         3567.8         2170.4          163.3
     09/05/2009         3774.1         2228.7          163.8
     10/05/2009         3949.3         2279.2          164.7
     11/05/2009         4163.1         2343.7          165.5
     12/05/2009         4286.1         2373.7          163.1
     13/05/2009         4377.9         2393.5          160.9
     14/05/2009         4590.4         2460.2          161.6
     15/05/2009         4603.2         2456.7          161.7
     16/05/2009         4808.9         2525.5          163.2
     17/05/2009         4940.7         2569.3          164.6
     18/05/2009         5187.5         2646.0          162.5
     19/05/2009         5304.8         2671.3          159.7
     20/05/2009         5364.7         2680.3          168.0
