ApsimVersion = 7.4
Title	Date	sw_5	sw_10	sw_15	sw_35	sw_75	st_5	st_10	st_15	st_35	st_75	sw_5Error	sw_10Error	sw_15Error	sw_35Error	sw_75Error	st_5Error	st_10Error	st_15Error	st_35Error	st_75Error
()	(dd/mm/yyyy)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)
PF	4/9/2008	0.122300694	0.215608333	0.272272917	0.278209375	0.302395313	19.27569444	19.83020833	20.4421875	20.74895833	20.821875	0.032864036	0.016078521	0.018386511	0.019279409	0.023086359	0.143404039	0.186574684	0.156837726	0.147682963	0.026152542
PF	5/9/2008	0.134574306	0.212815625	0.267183854	0.273508333	0.298414063	17.53888889	18.15520833	18.97239583	19.71666667	20.10989583	0.031332824	0.014682391	0.017405019	0.018857843	0.022978089	0.265375927	0.186491307	0.172439886	0.144642959	0.044879396
PF	6/9/2008	0.177985417	0.222154688	0.268511979	0.270583854	0.294997396	17.67013889	18.01666667	18.5203125	19.02291667	19.45416667	0.034936925	0.012486505	0.016045126	0.018475759	0.022787505	0.224901384	0.132754276	0.140385277	0.127925828	0.073494732
PF	7/9/2008	0.170703472	0.222376042	0.268159896	0.269454167	0.292685938	17.82847222	18.06041667	18.40572917	18.69270833	19.04010417	0.037371639	0.01203038	0.016093274	0.018210582	0.022697939	0.283905502	0.138848084	0.141478569	0.115778177	0.091280654
PF	8/9/2008	0.185494444	0.223902604	0.266914583	0.268809375	0.291239063	16.39861111	17.10416667	17.92552083	18.48489583	18.7984375	0.038424841	0.01214555	0.015888563	0.018412642	0.022627227	0.287513419	0.14440521	0.144162991	0.106152512	0.093318354
PF	9/9/2008	0.192315972	0.226165104	0.263529167	0.264609375	0.288205729	15.87847222	16.16979167	16.7265625	17.52083333	18.18958333	0.043264735	0.012342666	0.015313817	0.018672846	0.02247022	0.126737538	0.104119781	0.124293068	0.122790071	0.122731145
PF	10/9/2008	0.170978472	0.225654167	0.265053646	0.264438542	0.286218229	16.89513889	17.00989583	17.215625	17.43697917	17.88072917	0.039915092	0.011870806	0.015642512	0.01900851	0.022495233	0.074012923	0.137343069	0.094883198	0.122176962	0.0885289
PF	11/9/2008	0.202519444	0.251004167	0.291130208	0.282683854	0.299202083	19.05069444	18.74114583	18.44739583	17.89427083	17.990625	0.046516555	0.009608594	0.014103042	0.019035198	0.020604824	0.068648213	0.091340071	0.071566745	0.120318512	0.08299628
PF	12/9/2008	0.285801389	0.317901042	0.362144271	0.328876563	0.332393229	19.53055556	19.42916667	19.30677083	18.61666667	18.41666667	0.071401399	0.010449481	0.01747709	0.022237263	0.017871992	0.086838882	0.042381029	0.080491361	0.09755029	0.067523787
PF	13/09/2008	0.267879861	0.313234375	0.360507813	0.327989583	0.335503646	20.10138889	19.796875	19.48541667	18.77708333	18.640625	0.065225059	0.011521747	0.016467582	0.021430161	0.016594652	0.071931171	0.052446649	0.066840052	0.082051778	0.072396458
PF	14/09/2008	0.2375625	0.295065104	0.347196875	0.320333854	0.327807292	17.7	18.21666667	18.81458333	18.796875	18.76145833	0.059029218	0.014074356	0.015349278	0.020416389	0.017503127	0.24764808	0.113959793	0.118612859	0.066831935	0.086437414
PF	15/09/2008	0.219065972	0.283273438	0.336709896	0.313059896	0.322583333	16.81597222	16.99895833	17.48541667	17.9078125	18.33177083	0.054357405	0.014437337	0.014859066	0.019523974	0.017842479	0.016594171	0.081430089	0.108169615	0.069406457	0.116859882
