ApsimVersion = 7.4
Title	Date	sw_5	sw_10	sw_15	sw_35	sw_75	st_5	st_10	st_15	st_35	st_75	sw_5Error	sw_10Error	sw_15Error	sw_35Error	sw_75Error	st_5Error	st_10Error	st_15Error	st_35Error	st_75Error
()	(dd/mm/yyyy)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)
P	2/10/2008	0.210834896	0.247058854	0.254113542	0.296032292	0.267620833	13.47864583	13.934375	14.709375	16.20885417	16.7953125	0.0133702	0.024994974	0.023265447	0.034314696	0.045283581	0.081788524	0.247046354	0.203899875	0.327307044	0.256218063
P	3/10/2008	0.203994271	0.242863542	0.251638021	0.293585938	0.26523125	14.00208333	14.23802083	14.71041667	15.78958333	16.27916667	0.013977762	0.025732378	0.023207679	0.033742606	0.044783412	0.058986914	0.203487701	0.19172893	0.316109936	0.256995584
P	4/10/2008	0.197770313	0.236771875	0.24868125	0.291841146	0.263429688	14.00208333	14.18385417	14.60364583	15.59479167	16.01197917	0.015470131	0.026285672	0.023287567	0.033616754	0.044407288	0.107283239	0.201779509	0.202804011	0.312336184	0.254482919
P	5/10/2008	0.200527083	0.235483333	0.248904688	0.2914125	0.261969271	16.39635417	16.021875	15.70729167	15.8171875	15.94166667	0.019552581	0.027752842	0.023850398	0.03375597	0.043931411	0.217985395	0.220627689	0.163291564	0.267897246	0.245861286
P	6/10/2008	0.202976042	0.235665104	0.249920833	0.293197917	0.262459896	18.0328125	17.59010417	17.13020833	16.659375	16.35052083	0.020957261	0.02910524	0.024922242	0.034572481	0.044029708	0.185997792	0.198092712	0.121981791	0.202039478	0.235325042
P	7/10/2008	0.296688021	0.298480729	0.308047396	0.328639063	0.290935938	16.03802083	16.49375	16.93229167	17.18020833	16.853125	0.026303996	0.023218553	0.025884768	0.038885709	0.048868436	0.129712598	0.161161241	0.171881313	0.21041065	0.233928587
P	8/10/2008	0.265931771	0.282118229	0.287083333	0.313084896	0.284848438	13.7	14.09739583	14.79479167	16.121875	16.51458333	0.019902322	0.023562702	0.021742802	0.033579411	0.047171396	0.082552768	0.205424792	0.161554631	0.295610122	0.246616279
P	9/10/2008	0.249938021	0.272855208	0.275835417	0.306271875	0.2769875	13.50885417	13.89635417	14.4828125	15.56614583	15.98020833	0.019005918	0.024809998	0.021645071	0.032680646	0.045718199	0.036891033	0.194466222	0.152093738	0.285390529	0.248965597
P	10/10/2008	0.237895313	0.265301042	0.268930729	0.301927604	0.272669271	13.82291667	13.95	14.31145833	15.23645833	15.64114583	0.020027919	0.025498678	0.021824276	0.032441973	0.044975927	0.05198602	0.181801921	0.136762807	0.283645279	0.250786343
P	11/10/2008	0.201002703	0.260651351	0.248835135	0.267567568	0.242827027	15.52432432	14.75675676	14.88648649	15.20540541	15.62432432	?	?	?	?	?	?	?	?	?	?
P	13/11/2008	0.3263	0.31382	0.30669	0.32383	0.31264	8.08	7.57	7.52	8.41	9.06	0.06142	0.04368	0.01889	0.03415	0.04566	0.14	0.11	0.1	0.37	0.36
P	14/11/2008	0.290979167	0.290479167	0.2822625	0.289245833	0.2626	7.20625	7.420833333	7.639583333	8.35625	8.7875	0.033031357	0.025380642	0.02161185	0.028685033	0.042214245	0.16387859	0.139837041	0.191224581	0.322234943	0.344021358
P	15/11/2008	0.27363125	0.281435417	0.2736375	0.287091667	0.263208333	4.345833333	5.279166667	6.36875	8.147916667	8.860416667	0.029196786	0.02479667	0.019359935	0.026514045	0.041896977	0.297919095	0.28018058	0.2699746	0.378324385	0.344657892
