ApsimVersion = 7.6
Title = PFnew soilco2
           Date  soil_root_co2
   (dd/mm/yyyy)             ()
     01/12/2009          3.010
     02/12/2009          2.953
     03/12/2009          5.949
     04/12/2009          2.453
     05/12/2009          2.014
     06/12/2009          1.660
     07/12/2009          1.382
     08/12/2009          1.199
     09/12/2009          1.039
     10/12/2009          0.891
     11/12/2009          0.774
     12/12/2009          0.644
     13/12/2009          0.501
     14/12/2009          0.390
     15/12/2009          0.322
     16/12/2009          0.291
     17/12/2009          0.277
     18/12/2009          0.251
     19/12/2009          0.214
     20/12/2009          0.188
     21/12/2009          0.177
     22/12/2009          0.176
     23/12/2009          0.183
     24/12/2009          0.196
     25/12/2009          0.216
     26/12/2009          0.249
     27/12/2009          0.281
     28/12/2009          0.296
     29/12/2009          0.286
     30/12/2009          0.261
     31/12/2009          0.236
     01/01/2010          0.206
     02/01/2010          0.180
     03/01/2010          0.161
     04/01/2010          0.140
     05/01/2010          0.120
     06/01/2010          0.104
     07/01/2010          0.089
     08/01/2010          0.076
     09/01/2010          0.065
     10/01/2010          0.058
     11/01/2010          0.055
     12/01/2010          0.051
     13/01/2010          0.047
     14/01/2010          0.044
     15/01/2010          0.043
     16/01/2010          0.044
     17/01/2010          0.047
     18/01/2010          0.053
     19/01/2010          0.062
     20/01/2010          0.074
     21/01/2010          0.089
     22/01/2010          0.107
     23/01/2010          0.129
     24/01/2010          0.165
     25/01/2010          0.275
     26/01/2010          0.269
     27/01/2010          0.293
     28/01/2010          0.311
     29/01/2010          0.309
     30/01/2010          0.295
     31/01/2010          0.271
     01/02/2010          0.236
     02/02/2010          0.203
     03/02/2010          0.172
     04/02/2010          0.150
     05/02/2010          0.138
     06/02/2010          0.129
     07/02/2010          0.123
     08/02/2010          0.125
     09/02/2010          0.137
     10/02/2010          0.151
     11/02/2010          0.160
     12/02/2010          0.155
     13/02/2010          0.141
     14/02/2010          0.126
     15/02/2010          0.115
     16/02/2010          0.109
     17/02/2010          0.109
     18/02/2010          0.110
     19/02/2010          0.112
     20/02/2010          0.114
     21/02/2010          0.113
     22/02/2010          0.113
     23/02/2010          0.116
     24/02/2010          0.120
     25/02/2010          0.124
     26/02/2010          0.122
     27/02/2010          0.115
     28/02/2010          0.103
     01/03/2010          0.092
     02/03/2010          0.084
     03/03/2010          0.080
     04/03/2010          0.082
     05/03/2010          0.086
     06/03/2010          0.092
     07/03/2010          0.098
     08/03/2010          0.107
     09/03/2010          0.328
     10/03/2010          0.394
     11/03/2010          0.443
     12/03/2010          0.876
     13/03/2010          1.033
     14/03/2010          1.190
     15/03/2010          1.178
     16/03/2010          3.165
     17/03/2010          3.282
     18/03/2010          2.035
     19/03/2010          4.943
     20/03/2010          5.630
     21/03/2010          1.931
     22/03/2010          1.493
     23/03/2010          1.663
     24/03/2010          2.512
     25/03/2010          3.643
     26/03/2010          3.357
     27/03/2010          2.073
     28/03/2010          1.915
     29/03/2010          2.933
     30/03/2010          2.874
     31/03/2010          2.990
     01/04/2010          5.475
     02/04/2010          6.110
     03/04/2010          6.284
     04/04/2010         15.997
     05/04/2010          9.086
     06/04/2010         10.377
     07/04/2010         10.113
     08/04/2010         15.666
     09/04/2010          7.057
     10/04/2010          6.586
     11/04/2010          9.628
     12/04/2010          9.062
     13/04/2010         10.868
     14/04/2010         10.873
     15/04/2010         10.261
     16/04/2010         14.045
     17/04/2010         27.845
     18/04/2010         12.926
     19/04/2010         10.482
     20/04/2010         10.738
     21/04/2010         11.540
     22/04/2010         11.004
     23/04/2010         16.679
     24/04/2010         14.950
     25/04/2010         12.490
     26/04/2010         16.757
     27/04/2010         10.924
     28/04/2010          9.152
     29/04/2010         10.403
     30/04/2010         10.758
     01/05/2010         16.330
     02/05/2010         16.741
     03/05/2010         14.634
     04/05/2010         14.795
     05/05/2010         12.451
     06/05/2010         17.666
     07/05/2010         15.353
     08/05/2010         12.859
     09/05/2010         11.319
     10/05/2010          8.900
