ApsimVersion = 7.6
Title = Pnew agwt
           Date  AboveGroundWt  BelowGroundWt   surfaceom_wt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     15/01/2009         1110.9         3083.6          389.3
     16/01/2009         1110.9         3083.6          389.3
     17/01/2009         1110.9         3083.6          389.3
     18/01/2009         1110.9         3083.6          389.3
     19/01/2009         1110.9         3083.6          389.3
     20/01/2009         1110.9         3083.6          389.3
     21/01/2009         1110.9         3083.6          389.3
     22/01/2009         1110.9         3083.6          389.3
     23/01/2009         1110.9         3083.6          389.3
     24/01/2009         1110.9         3083.6          389.3
     25/01/2009         1110.9         3083.6          389.3
     26/01/2009         1110.9         3083.6          389.3
     27/01/2009         1110.9         3083.6          389.3
     28/01/2009         1110.9         3083.6          389.3
     29/01/2009         1110.9         3083.6          389.3
     30/01/2009         1110.9         3083.6          389.3
     31/01/2009         1110.9         3083.6          389.3
     01/02/2009         1110.9         3083.6          389.3
     02/02/2009         1110.9         3083.6          389.3
     03/02/2009         1110.9         3083.6          389.3
     04/02/2009         1110.9         3083.6          389.3
     05/02/2009         1110.9         3083.6          389.3
     06/02/2009         1110.9         3083.6          389.0
     07/02/2009         1110.9         3083.6          388.0
     08/02/2009         1110.9         3083.6          388.0
     09/02/2009         1109.5         3080.9          386.0
     10/02/2009         1117.0         3075.5          382.5
     11/02/2009         1117.0         3075.5          382.3
     12/02/2009         1117.0         3075.5          382.0
     13/02/2009         1117.0         3075.5          382.0
     14/02/2009         1117.0         3075.5          382.0
     15/02/2009         1117.0         3075.5          382.0
     16/02/2009         1117.0         3075.5          382.0
     17/02/2009         1117.0         3075.5          382.0
     18/02/2009         1117.0         3075.5          382.0
     19/02/2009         1117.0         3075.5          382.0
     20/02/2009         1117.0         3075.5          382.0
     21/02/2009         1117.0         3075.5          382.0
     22/02/2009         1117.0         3075.5          382.0
     23/02/2009         1117.0         3075.5          382.0
     24/02/2009         1117.0         3075.5          381.4
     25/02/2009         1116.1         3075.0          380.5
     26/02/2009         1116.1         3075.0          380.5
     27/02/2009         1116.1         3075.0          380.5
     28/02/2009         1116.1         3075.0          380.5
     01/03/2009         1116.1         3075.0          380.5
     02/03/2009         1116.1         3075.0          380.5
     03/03/2009         1116.1         3075.0          380.5
     04/03/2009         1116.1         3075.0          380.0
     05/03/2009         1118.9         3065.9          376.6
     06/03/2009         1118.9         3062.6          373.8
     07/03/2009         1118.9         3062.6          373.4
     08/03/2009         1118.9         3062.6          373.3
     09/03/2009         1118.9         3062.6          373.1
     10/03/2009         1118.9         3062.6          373.1
     11/03/2009         1118.9         3062.6          373.1
