ApsimVersion = 7.6
Title = PFnew agwt
           Date  AboveGroundWt  BelowGroundWt   surfaceom_wt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     26/02/2009         1153.3         1994.7          203.9
     27/02/2009         1153.3         1994.7          203.9
     28/02/2009         1153.3         1994.7          203.9
     01/03/2009         1153.3         1994.7          203.9
     02/03/2009         1153.3         1994.7          203.9
     03/03/2009         1153.3         1994.7          203.9
     04/03/2009         1153.3         1994.7          203.7
     05/03/2009         1158.9         1990.1          202.5
     06/03/2009         1159.9         1988.4          201.5
     07/03/2009         1159.9         1988.4          201.3
     08/03/2009         1159.9         1988.4          201.2
     09/03/2009         1159.9         1988.4          201.1
     10/03/2009         1159.9         1988.4          201.1
     11/03/2009         1159.9         1988.4          201.1
     12/03/2009         1159.9         1988.4          201.1
     13/03/2009         1159.9         1988.4          201.1
     14/03/2009         1159.9         1988.4          200.7
     15/03/2009         1158.9         1986.2          200.0
     16/03/2009         1164.8         1981.5          198.2
     17/03/2009         1197.9         1979.0          196.7
     18/03/2009         1219.7         1979.1          196.5
     19/03/2009         1219.7         1979.1          196.1
     20/03/2009         1218.8         1977.8          196.2
     21/03/2009         1227.3         1973.8          195.9
     22/03/2009         1254.5         1970.1          195.4
     23/03/2009         1258.7         1962.6          190.7
     24/03/2009         1263.9         1962.1          190.3
     25/03/2009         1264.4         1962.1          189.5
     26/03/2009         1264.4         1962.1          189.3
     27/03/2009         1264.4         1962.1          189.3
     28/03/2009         1264.4         1962.1          189.3
     29/03/2009         1264.4         1962.1          189.1
     30/03/2009         1264.2         1960.6          188.9
     31/03/2009         1264.3         1960.7          188.4
     01/04/2009         1264.3         1960.7          187.9
     02/04/2009         1264.3         1960.7          187.6
     03/04/2009         1264.3         1960.7          187.1
     04/04/2009         1272.5         1959.2          185.8
     05/04/2009         1272.5         1959.2          185.7
     06/04/2009         1272.5         1959.2          185.7
     07/04/2009         1272.5         1959.2          185.7
     08/04/2009         1271.6         1958.3          185.5
     09/04/2009         1271.6         1958.3          184.9
     10/04/2009         1272.9         1957.3          184.7
     11/04/2009         1273.3         1955.3          184.5
     12/04/2009         1282.5         1955.2          184.5
     13/04/2009         1292.0         1956.2          184.3
     14/04/2009         1323.1         1957.8          184.0
     15/04/2009         1338.7         1956.3          183.9
     16/04/2009         1376.4         1954.5          183.8
     17/04/2009         1459.4         1958.8          184.6
     18/04/2009         1475.0         1952.7          184.6
     19/04/2009         1525.3         1956.5          185.6
     20/04/2009         1566.0         1961.3          186.5
     21/04/2009         1624.8         1967.4          187.7
     22/04/2009         1727.6         1975.0          189.8
     23/04/2009         1826.2         1976.4          193.7
     24/04/2009         1951.9         1980.2          197.6
     25/04/2009         1994.9         1979.9          195.2
     26/04/2009         2023.9         1973.7          189.2
     27/04/2009         2100.9         1981.2          188.9
     28/04/2009         2225.0         1994.8          188.5
     29/04/2009         2245.1         1991.2          186.4
